prefix,prefix_bits,manufacturer,registry_type,is_ieee_reserved
000000,24,XEROX CORPORATION,MA-L,false
000001,24,XEROX CORPORATION,MA-L,false
000002,24,XEROX CORPORATION,MA-L,false
000003,24,XEROX CORPORATION,MA-L,false
000004,24,XEROX CORPORATION,MA-L,false
000005,24,XEROX CORPORATION,MA-L,false
000006,24,XEROX CORPORATION,MA-L,false
000007,24,XEROX CORPORATION,MA-L,false
000008,24,XEROX CORPORATION,MA-L,false
000009,24,XEROX CORPORATION,MA-L,false
00000A,24,OMRON TATEISI ELECTRONICS CO.,MA-L,false
00000B,24,MATRIX CORPORATION,MA-L,false
00000C,24,"Cisco Systems, Inc",MA-L,false
00000D,24,FIBRONICS LTD.,MA-L,false
00000E,24,FUJITSU LIMITED,MA-L,false
00000F,24,"NEXT, INC.",MA-L,false
000010,24,SYTEK INC.,MA-L,false
000011,24,NORMEREL SYSTEMES,MA-L,false
000012,24,INFORMATION TECHNOLOGY LIMITED,MA-L,false
000013,24,CAMEX,MA-L,false
000014,24,NETRONIX,MA-L,false
000015,24,DATAPOINT CORPORATION,MA-L,false
000016,24,DU PONT PIXEL SYSTEMS .,MA-L,false
000017,24,Oracle,MA-L,false
000018,24,WEBSTER COMPUTER CORPORATION,MA-L,false
000019,24,APPLIED DYNAMICS INTERNATIONAL,MA-L,false
00001A,24,ADVANCED MICRO DEVICES,MA-L,false
00001B,24,"Novell, Inc",MA-L,false
00001C,24,BELL TECHNOLOGIES,MA-L,false
00001D,24,"Cabletron Systems, Inc",MA-L,false
00001E,24,TELSIST INDUSTRIA ELECTRONICA,MA-L,false
00001F,24,"Telco Systems, Inc",MA-L,false
000020,24,DATAINDUSTRIER DIAB AB,MA-L,false
000021,24,SUREMAN COMP. & COMMUN. CORP.,MA-L,false
000022,24,VISUAL TECHNOLOGY INC.,MA-L,false
000023,24,ABB INDUSTRIAL SYSTEMS AB,MA-L,false
000024,24,CONNECT AS,MA-L,false
000025,24,RAMTEK CORP.,MA-L,false
000026,24,"SHA-KEN CO., LTD.",MA-L,false
000027,24,JAPAN RADIO COMPANY,MA-L,false
000028,24,PRODIGY SYSTEMS CORPORATION,MA-L,false
000029,24,IMC NETWORKS CORP.,MA-L,false
00002A,24,TRW - SEDD/INP,MA-L,false
00002B,24,"CRISP AUTOMATION, INC",MA-L,false
00002C,24,AUTOTOTE LIMITED,MA-L,false
00002D,24,CHROMATICS INC,MA-L,false
00002E,24,SOCIETE EVIRA,MA-L,false
00002F,24,TIMEPLEX INC.,MA-L,false
000030,24,VG LABORATORY SYSTEMS LTD,MA-L,false
000031,24,"QPSX COMMUNICATIONS, LTD.",MA-L,false
000032,24,Marconi Plc,MA-L,false
000033,24,EGAN MACHINERY COMPANY,MA-L,false
000034,24,NETWORK RESOURCES CORPORATION,MA-L,false
000035,24,SPECTRAGRAPHICS CORPORATION,MA-L,false
000036,24,ATARI CORPORATION,MA-L,false
000037,24,OXFORD METRICS LIMITED,MA-L,false
000038,24,CSS LABS,MA-L,false
000039,24,TOSHIBA CORPORATION,MA-L,false
00003A,24,CHYRON CORPORATION,MA-L,false
00003B,24,"I Controls, Inc",MA-L,false
00003C,24,AUSPEX SYSTEMS INC.,MA-L,false
00003D,24,UNISYS,MA-L,false
00003E,24,SIMPACT,MA-L,false
00003F,24,"SYNTREX, INC.",MA-L,false
000040,24,"APPLICON, INC.",MA-L,false
000041,24,ICE CORPORATION,MA-L,false
000042,24,METIER MANAGEMENT SYSTEMS LTD.,MA-L,false
000043,24,MICRO TECHNOLOGY,MA-L,false
000044,24,CASTELLE CORPORATION,MA-L,false
000045,24,FORD AEROSPACE & COMM. CORP.,MA-L,false
000046,24,OLIVETTI NORTH AMERICA,MA-L,false
000047,24,NICOLET INSTRUMENTS CORP.,MA-L,false
000048,24,Seiko Epson Corporation,MA-L,false
000049,24,"APRICOT COMPUTERS, LTD",MA-L,false
00004A,24,ADC CODENOLL TECHNOLOGY CORP.,MA-L,false
00004B,24,ICL DATA OY,MA-L,false
00004C,24,NEC Corporation,MA-L,false
00004D,24,DCI CORPORATION,MA-L,false
00004E,24,AMPEX CORPORATION,MA-L,false
00004F,24,"LOGICRAFT, INC.",MA-L,false
000050,24,RADISYS CORPORATION,MA-L,false
000051,24,HOB ELECTRONIC GMBH & CO. KG,MA-L,false
000052,24,"Intrusion.com, Inc",MA-L,false
000053,24,COMPUCORP,MA-L,false
000054,24,Schneider Electric,MA-L,false
000055,24,COMMISSARIAT A L`ENERGIE ATOM.,MA-L,false
000056,24,DR. B. STRUCK,MA-L,false
000057,24,SCITEX CORPORATION LTD.,MA-L,false
000058,24,RACORE COMPUTER PRODUCTS INC.,MA-L,false
000059,24,Hellige GMBH,MA-L,false
00005A,24,Syskonnect Gmbh,MA-L,false
00005B,24,ELTEC ELEKTRONIK AG,MA-L,false
00005C,24,TELEMATICS INTERNATIONAL INC.,MA-L,false
00005D,24,CS TELECOM,MA-L,false
00005E,24,"ICANN, IANA Department",MA-L,false
00005F,24,"Sumitomo Electric Industries, Ltd",MA-L,false
000060,24,Kontron Europe Gmbh,MA-L,false
000061,24,GATEWAY COMMUNICATIONS,MA-L,false
000062,24,BULL HN INFORMATION SYSTEMS,MA-L,false
000063,24,BARCO CONTROL ROOMS GMBH,MA-L,false
000064,24,Yokogawa Digital Computer Corporation,MA-L,false
000065,24,Network General Corporation,MA-L,false
000066,24,"TALARIS SYSTEMS, INC.",MA-L,false
000067,24,"SOFT * RITE, INC.",MA-L,false
000068,24,ROSEMOUNT CONTROLS,MA-L,false
000069,24,CONCORD COMMUNICATIONS INC,MA-L,false
00006A,24,COMPUTER CONSOLES INC.,MA-L,false
00006B,24,Silicon Graphics,MA-L,false
00006C,24,Schneider Electric,MA-L,false
00006D,24,"CRAY COMMUNICATIONS, LTD.",MA-L,false
00006E,24,Artisoft Inc,MA-L,false
00006F,24,Madge Ltd,MA-L,false
000070,24,HCL LIMITED,MA-L,false
000071,24,ADRA SYSTEMS INC.,MA-L,false
000072,24,MINIWARE TECHNOLOGY,MA-L,false
000073,24,SIECOR CORPORATION,MA-L,false
000074,24,RICOH COMPANY LTD.,MA-L,false
000075,24,Nortel Networks,MA-L,false
000076,24,ABEKAS VIDEO SYSTEM,MA-L,false
000077,24,INTERPHASE CORPORATION,MA-L,false
000078,24,LABTAM LIMITED,MA-L,false
000079,24,NETWORTH INCORPORATED,MA-L,false
00007A,24,DANA COMPUTER INC.,MA-L,false
00007B,24,RESEARCH MACHINES,MA-L,false
00007C,24,AMPERE INCORPORATED,MA-L,false
00007D,24,Oracle Corporation,MA-L,false
00007E,24,CLUSTRIX CORPORATION,MA-L,false
00007F,24,LINOTYPE-HELL AG,MA-L,false
000080,24,CRAY COMMUNICATIONS A/S,MA-L,false
000081,24,Bay Networks,MA-L,false
000082,24,LECTRA SYSTEMES SA,MA-L,false
000083,24,TADPOLE TECHNOLOGY PLC,MA-L,false
000084,24,SUPERNET,MA-L,false
000085,24,CANON INC.,MA-L,false
000086,24,MEGAHERTZ CORPORATION,MA-L,false
000087,24,"HITACHI, LTD.",MA-L,false
000088,24,Brocade Communications Systems LLC,MA-L,false
000089,24,CAYMAN SYSTEMS INC.,MA-L,false
00008A,24,DATAHOUSE INFORMATION SYSTEMS,MA-L,false
00008B,24,INFOTRON,MA-L,false
00008C,24,Alloy Computer Products (australia) Pty Ltd,MA-L,false
00008D,24,Cryptek Inc,MA-L,false
00008E,24,"SOLBOURNE COMPUTER, INC.",MA-L,false
00008F,24,Raytheon,MA-L,false
000090,24,MICROCOM,MA-L,false
000091,24,ANRITSU CORPORATION,MA-L,false
000092,24,COGENT DATA TECHNOLOGIES,MA-L,false
000093,24,PROTEON INC.,MA-L,false
000094,24,ASANTE TECHNOLOGIES,MA-L,false
000095,24,SONY TEKTRONIX CORP.,MA-L,false
000096,24,MARCONI ELECTRONICS LTD.,MA-L,false
000097,24,Dell EMC,MA-L,false
000098,24,CROSSCOMM CORPORATION,MA-L,false
000099,24,"MTX, INC.",MA-L,false
00009A,24,RC COMPUTER A/S,MA-L,false
00009B,24,"INFORMATION INTERNATIONAL, INC",MA-L,false
00009C,24,ROLM MIL-SPEC COMPUTERS,MA-L,false
00009D,24,LOCUS COMPUTING CORPORATION,MA-L,false
00009E,24,MARLI S.A.,MA-L,false
00009F,24,AMERISTAR TECHNOLOGIES INC.,MA-L,false
0000A0,24,"SANYO Electric Co., Ltd",MA-L,false
0000A1,24,MARQUETTE ELECTRIC CO.,MA-L,false
0000A2,24,Bay Networks,MA-L,false
0000A3,24,NETWORK APPLICATION TECHNOLOGY,MA-L,false
0000A4,24,ACORN COMPUTERS LIMITED,MA-L,false
0000A5,24,Tattile SRL,MA-L,false
0000A6,24,NETWORK GENERAL CORPORATION,MA-L,false
0000A7,24,NETWORK COMPUTING DEVICES INC.,MA-L,false
0000A8,24,Stratus Technologies,MA-L,false
0000A9,24,NETWORK SYSTEMS CORP.,MA-L,false
0000AA,24,XEROX CORPORATION,MA-L,false
0000AB,24,LOGIC MODELING CORPORATION,MA-L,false
0000AC,24,CONWARE COMPUTER CONSULTING,MA-L,false
0000AD,24,BRUKER INSTRUMENTS INC.,MA-L,false
0000AE,24,DASSAULT ELECTRONIQUE,MA-L,false
0000AF,24,"Canberra Industries, Inc",MA-L,false
0000B0,24,RND-RAD NETWORK DEVICES,MA-L,false
0000B1,24,Alpha Micro,MA-L,false
0000B2,24,"TELEVIDEO SYSTEMS, INC.",MA-L,false
0000B3,24,CIMLINC INCORPORATED,MA-L,false
0000B4,24,Edimax Technology Co. Ltd,MA-L,false
0000B5,24,DATABILITY SOFTWARE SYS. INC.,MA-L,false
0000B6,24,MICRO-MATIC RESEARCH,MA-L,false
0000B7,24,DOVE COMPUTER CORPORATION,MA-L,false
0000B8,24,"SEIKOSHA CO., LTD.",MA-L,false
0000B9,24,MCDONNELL DOUGLAS COMPUTER SYS,MA-L,false
0000BA,24,"SIIG, INC.",MA-L,false
0000BB,24,TRI-DATA,MA-L,false
0000BC,24,Rockwell Automation,MA-L,false
0000BD,24,"RYOSEI, Ltd",MA-L,false
0000BE,24,THE NTI GROUP,MA-L,false
0000BF,24,SYMMETRIC COMPUTER SYSTEMS,MA-L,false
0000C0,24,WESTERN DIGITAL CORPORATION,MA-L,false
0000C1,24,Madge Ltd,MA-L,false
0000C2,24,INFORMATION PRESENTATION TECH.,MA-L,false
0000C3,24,Harris Corporation,MA-L,false
0000C4,24,WATERS DIV. OF MILLIPORE,MA-L,false
0000C5,24,Commscope,MA-L,false
0000C6,24,EON SYSTEMS,MA-L,false
0000C7,24,ARIX CORPORATION,MA-L,false
0000C8,24,ALTOS COMPUTER SYSTEMS,MA-L,false
0000C9,24,Emulex Corporation,MA-L,false
0000CA,24,Commscope,MA-L,false
0000CB,24,COMPU-SHACK ELECTRONIC GMBH,MA-L,false
0000CC,24,"DENSAN CO., LTD.",MA-L,false
0000CD,24,Allied Telesis Labs Ltd,MA-L,false
0000CE,24,MEGADATA CORP.,MA-L,false
0000CF,24,HAYES MICROCOMPUTER PRODUCTS,MA-L,false
0000D0,24,DEVELCON ELECTRONICS LTD.,MA-L,false
0000D1,24,ADAPTEC INCORPORATED,MA-L,false
0000D2,24,"SBE, INC.",MA-L,false
0000D3,24,WANG LABORATORIES INC.,MA-L,false
0000D4,24,PURE DATA LTD.,MA-L,false
0000D5,24,MICROGNOSIS INTERNATIONAL,MA-L,false
0000D6,24,PUNCH LINE HOLDING,MA-L,false
0000D7,24,DARTMOUTH COLLEGE,MA-L,false
0000D8,24,"Novell, Inc",MA-L,false
0000D9,24,NIPPON TELEGRAPH & TELEPHONE,MA-L,false
0000DA,24,ATEX,MA-L,false
0000DB,24,British Telecommunications Plc,MA-L,false
0000DC,24,HAYES MICROCOMPUTER PRODUCTS,MA-L,false
0000DD,24,TCL INCORPORATED,MA-L,false
0000DE,24,CETIA,MA-L,false
0000DF,24,BELL & HOWELL PUB SYS DIV,MA-L,false
0000E0,24,QUADRAM CORP.,MA-L,false
0000E1,24,GRID SYSTEMS,MA-L,false
0000E2,24,ACER TECHNOLOGIES CORP.,MA-L,false
0000E3,24,INTEGRATED MICRO PRODUCTS LTD,MA-L,false
0000E4,24,IN2 GROUPE INTERTECHNIQUE,MA-L,false
0000E5,24,SIGMEX LTD.,MA-L,false
0000E6,24,APTOR PRODUITS DE COMM INDUST,MA-L,false
0000E7,24,Star Gate Technologies,MA-L,false
0000E8,24,ACCTON TECHNOLOGY CORP.,MA-L,false
0000E9,24,"ISICAD, INC.",MA-L,false
0000EA,24,UPNOD AB,MA-L,false
0000EB,24,MATSUSHITA COMM. IND. CO. LTD.,MA-L,false
0000EC,24,MICROPROCESS,MA-L,false
0000ED,24,APRIL,MA-L,false
0000EE,24,"NETWORK DESIGNERS, LTD.",MA-L,false
0000EF,24,KTI,MA-L,false
0000F0,24,"Samsung Electronics Co.,ltd",MA-L,false
0000F1,24,MAGNA COMPUTER CORPORATION,MA-L,false
0000F2,24,SPIDER COMMUNICATIONS,MA-L,false
0000F3,24,GANDALF DATA LIMITED,MA-L,false
0000F4,24,"Allied Telesis, Inc",MA-L,false
0000F5,24,DIAMOND SALES LIMITED,MA-L,false
0000F6,24,APPLIED MICROSYSTEMS CORP.,MA-L,false
0000F7,24,YOUTH KEEP ENTERPRISE CO LTD,MA-L,false
0000F8,24,DIGITAL EQUIPMENT CORPORATION,MA-L,false
0000F9,24,QUOTRON SYSTEMS INC.,MA-L,false
0000FA,24,MICROSAGE COMPUTER SYSTEMS INC,MA-L,false
0000FB,24,RECHNER ZUR KOMMUNIKATION,MA-L,false
0000FC,24,MEIKO,MA-L,false
0000FD,24,HIGH LEVEL HARDWARE,MA-L,false
0000FE,24,"Annapolis Micro Systems, Inc",MA-L,false
0000FF,24,CAMTEC ELECTRONICS LTD.,MA-L,false
000100,24,EQUIP'TRANS,MA-L,false
000101,24,Private,MA-L,false
000102,24,3COM,MA-L,false
000103,24,3COM,MA-L,false
000104,24,"DVICO Co., Ltd",MA-L,false
000105,24,Beckhoff Automation Gmbh,MA-L,false
000106,24,Tews Datentechnik Gmbh,MA-L,false
000107,24,Leiser Gmbh,MA-L,false
000108,24,"AVLAB Technology, Inc",MA-L,false
000109,24,"Nagano Japan Radio Co., Ltd",MA-L,false
00010A,24,CIS TECHNOLOGY INC.,MA-L,false
00010B,24,"Space Cyberlink, Inc",MA-L,false
00010C,24,System Talks Inc,MA-L,false
00010D,24,Teledyne DALSA Inc,MA-L,false
00010E,24,"Bri-link Technologies Co., Ltd",MA-L,false
00010F,24,Brocade Communications Systems LLC,MA-L,false
000110,24,Gotham Networks,MA-L,false
000111,24,Idigm Inc,MA-L,false
000112,24,Shark Multimedia Inc,MA-L,false
000113,24,OLYMPUS CORPORATION,MA-L,false
000114,24,"KANDA TSUSHIN KOGYO CO., LTD.",MA-L,false
000115,24,EXTRATECH CORPORATION,MA-L,false
000116,24,"Netspect Technologies, Inc",MA-L,false
000117,24,Canal +,MA-L,false
000118,24,"EZ Digital Co., Ltd",MA-L,false
000119,24,Rtunet (australia),MA-L,false
00011A,24,Hoffmann Und Burmeister Gbr,MA-L,false
00011B,24,"Unizone Technologies, Inc",MA-L,false
00011C,24,Universal Talkware Corporation,MA-L,false
00011D,24,Centillium Communications,MA-L,false
